
"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","14.3","No Different than U.S. National Rate","12.1","17.0","666","","11.4","No Different than U.S. National Rate","9.5","13.7","741","","10.9","No Different than U.S. National Rate","8.6","13.7","371","","19.0","No Different than U.S. National Rate","16.6","21.7","728","","23.7","No Different than U.S. National Rate","21.3","26.5","891","","17.1","No Different than U.S. National Rate","14.4","20.4","400",""
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","18.5","No Different than U.S. National Rate","14.7","23.0","44","","15.2","Worse than U.S. National Rate","12.2","18.8","234","","13.9","No Different than U.S. National Rate","11.3","17.0","372","","Not Available","Number of Cases Too Small","Not Available","Not Available","21","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","22.5","No Different than U.S. National Rate","19.2","26.1","264","","17.6","No Different than U.S. National Rate","15.0","20.6","374",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","18.1","No Different than U.S. National Rate","14.8","21.8","329","","11.3","No Different than U.S. National Rate","9.1","13.9","523","","13.4","No Different than U.S. National Rate","11.2","15.8","836","","17.8","No Different than U.S. National Rate","14.9","21.5","342","","19.8","Better than U.S. National Rate","17.2","22.9","614","","16.9","No Different than U.S. National Rate","14.7","19.5","842",""
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","Not Available","Number of Cases Too Small","Not Available","Not Available","14","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","13.6","No Different than U.S. National Rate","10.0","18.2","113","","14.9","No Different than U.S. National Rate","11.6","19.0","239","","Not Available","Number of Cases Too Small","Not Available","Not Available","1","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","27.1","No Different than U.S. National Rate","22.4","31.9","135","","19.4","No Different than U.S. National Rate","15.9","23.2","254",""
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Not Available","Number of Cases Too Small","Not Available","Not Available","9","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","13.8","No Different than U.S. National Rate","9.9","18.7","53","","15.8","No Different than U.S. National Rate","11.4","21.5","61","","Not Available","Number of Cases Too Small","Not Available","Not Available","4","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","24.7","No Different than U.S. National Rate","19.9","30.2","59","","18.0","No Different than U.S. National Rate","14.0","22.8","56",""
"010010","MARSHALL MEDICAL CENTER NORTH","8000 ALABAMA HIGHWAY 69","","","GUNTERSVILLE","AL","35976","MARSHALL","2565718000","Not Available","Number of Cases Too Small","Not Available","Not Available","22","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","12.5","No Different than U.S. National Rate","9.9","15.6","163","","8.7","Better than U.S. National Rate","6.8","11.0","315","","Not Available","Number of Cases Too Small","Not Available","Not Available","13","number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing","23.9","No Different than U.S. National Rate","20.1","28.2","173","","18.7","No Different than U.S. National Rate","15.7","22.2","326",""
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","17.7","No Different than U.S. National Rate","14.2","22.1","220","","10.9","No Different than U.S. National Rate","8.5","13.8","348","","16.2","Worse than U.S. National Rate","13.4","19.6","441","","22.4","No Different than U.S. National Rate","18.5","26.8","213","","21.3","No Different than U.S. National Rate","18.2","24.7","417","","17.7","No Different than U.S. National Rate","15.3","20.7","452",""
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","18.0","No Different than U.S. National Rate","14.1","22.8","99","","16.6","Worse than U.S. National Rate","12.4","22.0","137","","15.8","Worse than U.S. National Rate","12.1","20.2","215","","19.8","No Different than U.S. National Rate","15.8","24.6","79","","26.4","No Different than U.S. National Rate","22.1","31.3","160","","17.7","No Different than U.S. National Rate","14.4","21.8","210",""
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","15.9","No Different than U.S. National Rate","12.6","20.0","192","","13.6","No Different than U.S. National Rate","10.6","17.1","262","","10.7","No Different than U.S. National Rate","8.2","13.6","318","","20.3","No Different than U.S. National Rate","16.8","24.4","199","","25.1","No Different than U.S. National Rate","21.6","28.7","323","","16.9","No Different than U.S. National Rate","14.2","20.3","332",""
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No data are available from the hospital for this measure"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","19.6","No Different than U.S. National Rate","15.2","25.1","85","","12.6","No Different than U.S. National Rate","9.9","16.0","257","","15.0","Worse than U.S. National Rate","12.1","18.5","324","","21.1","No Different than U.S. National Rate","16.7","26.2","43","","21.8","No Different than U.S. National Rate","18.5","25.7","289","","19.3","No Different than U.S. National Rate","16.2","22.8","336",""
